New_ID,Life satisfaction,Neighborhood satisfaction,Similarity to friends,Years in Somerville,Marital status,Social community events availability,Annual household income,Housing satisfaction,Age,Gender,year,Living with children under 18,Student status
211,10.0,10.0,5.0,13.0,Widowed,4.013248542660308,35999.4,7.594181275643416,80.0,Female,2011,0,0
212,9.0,8.0,7.0,13.0,Married,4.013248542660308,131999.4,7.594181275643416,39.5,Male,2011,1,0
213,6.0,8.0,9.0,13.0,Single,4.013248542660308,59999.399999999994,7.594181275643416,69.5,Female,2011,0,0
214,7.0,6.0,3.0,25.0,Single,4.013248542660308,59999.399999999994,7.594181275643416,49.5,Female,2011,0,1
215,9.0,10.0,8.0,25.0,Married,4.013248542660308,252000.0,7.594181275643416,49.5,Female,2011,1,0
216,5.0,7.0,7.0,2.0,Single,4.013248542660308,35999.4,7.594181275643416,29.5,Female,2011,0,0
217,5.0,7.0,2.0,2.0,Married,4.013248542660308,59999.399999999994,7.594181275643416,29.5,Female,2011,0,0
218,3.0,9.0,8.0,9.0,Single,4.013248542660308,83999.4,7.594181275643416,39.5,Female,2011,0,0
219,9.0,9.0,6.0,13.0,Married,4.013248542660308,203999.4,7.594181275643416,39.5,Female,2011,0,0
220,8.0,8.0,7.0,9.0,Married,4.013248542660308,203999.4,7.594181275643416,29.5,Female,2011,0,0
221,8.0,7.0,8.0,18.0,Divorced,4.013248542660308,35999.4,7.594181275643416,49.5,Female,2011,1,0
222,10.0,10.0,9.0,25.0,,4.013248542660308,100894.45434919304,7.594181275643416,69.5,Female,2011,0,0
223,7.0,8.0,4.0,9.0,Cohabitee,4.013248542660308,131999.4,7.594181275643416,49.5,Female,2011,0,1
224,7.0,5.0,6.0,5.5,,4.013248542660308,100894.45434919304,7.594181275643416,43.23844859998021,,2011,0,0
225,8.0,9.0,6.0,18.0,Married,4.013248542660308,252000.0,7.594181275643416,59.5,Female,2011,1,1
226,8.0,8.0,7.0,13.0,Cohabitee,4.013248542660308,59999.399999999994,7.594181275643416,39.5,Male,2011,0,0
227,10.0,9.0,6.0,2.0,Divorced,4.013248542660308,107999.4,7.594181275643416,59.5,Male,2011,0,0
228,4.0,8.0,6.0,5.5,Divorced,4.013248542660308,35999.4,7.594181275643416,29.5,Female,2011,0,0
229,9.0,8.0,8.0,13.0,Married,4.013248542660308,155999.4,7.594181275643416,49.5,Male,2011,1,0
230,7.0,8.0,6.0,5.5,Cohabitee,4.013248542660308,100894.45434919304,7.594181275643416,39.5,Female,2011,0,1
231,9.0,8.0,4.0,9.0,Married,4.013248542660308,83999.4,7.594181275643416,39.5,Female,2011,0,0
232,9.0,9.0,6.0,2.0,Cohabitee,4.013248542660308,179999.4,7.594181275643416,29.5,Male,2011,0,0
233,8.0,7.0,5.0,25.0,Married,4.013248542660308,35999.4,7.594181275643416,69.5,Female,2011,0,0
